Cluster;Wochentag;Ladetype;Anzahl
1;1;Schnelllader;33
1;2;Schnelllader;38
1;3;Schnelllader;38
1;4;Schnelllader;36
1;5;Schnelllader;30
1;6;Schnelllader;11
1;7;Schnelllader;3
1;1;Nachtlader;13
1;2;Nachtlader;14
1;3;Nachtlader;14
1;4;Nachtlader;14
1;5;Nachtlader;11
1;6;Nachtlader;4
1;7;Nachtlader;1
2;1;Schnelllader;100
2;2;Schnelllader;113
2;3;Schnelllader;111
2;4;Schnelllader;105
2;5;Schnelllader;87
2;6;Schnelllader;36
2;7;Schnelllader;9
2;1;Nachtlader;43
2;2;Nachtlader;50
2;3;Nachtlader;50
2;4;Nachtlader;48
2;5;Nachtlader;41
2;6;Nachtlader;17
2;7;Nachtlader;4
3;1;Schnelllader;178
3;2;Schnelllader;214
3;3;Schnelllader;222
3;4;Schnelllader;220
3;5;Schnelllader;189
3;6;Schnelllader;84
3;7;Schnelllader;16
3;1;Nachtlader;82
3;2;Nachtlader;105
3;3;Nachtlader;113
3;4;Nachtlader;116
3;5;Nachtlader;104
3;6;Nachtlader;48
3;7;Nachtlader;8
